type_batiment,type_installation_chauffage,type_installation_ecs,hauteur_sous_plafond,etiquette_dpe,etiquette_ges,surface_habitable_logement,nombre_niveau_logement,code_postal_ban,qualite_isolation_enveloppe,cout_total_5_usages_energie_n1,conso_5 usages_ef,conso_5_usages_ep,type_energie_principale_chauffage
maison,individuel,individuel,2.5,E,E,116.2,2.0,86000.0,insuffisante,2251.0,25146.3,25828.2,Fioul domestique
maison,individuel,individuel,2.3,E,B,57.2,1.0,72150.0,bonne,1154.7,6741.1,15504.6,Électricité
maison,individuel,individuel,2.5,E,E,103.7,3.0,62600.0,insuffisante,2123.0,29508.7,30217.0,Gaz naturel
appartement,individuel,individuel,2.4,D,B,30.2,1.0,74700.0,insuffisante,636.0,3433.3,7896.5,Électricité
maison,individuel,individuel,2.5,G,C,99.0,1.0,65150.0,insuffisante,2898.0,23984.3,47091.2,Électricité
maison,individuel,individuel,2.5,C,C,78.0,2.0,50500.0,moyenne,812.9,9837.5,11027.6,Gaz naturel
appartement,individuel,individuel,2.5,C,C,18.1,1.0,34280.0,insuffisante,241.0,2333.2,2546.7,Gaz naturel
appartement,individuel,individuel,2.5,E,E,58.6,1.0,44600.0,insuffisante,1347.0,17411.9,17824.2,Gaz naturel
maison,individuel,individuel,2.5,D,B,98.0,2.0,37500.0,insuffisante,1506.2,12789.3,24456.5,Électricité
maison,individuel,individuel,2.5,F,C,45.4,1.0,37110.0,moyenne,1352.0,7994.3,18386.8,Électricité
maison,individuel,individuel,2.5,D,D,112.0,2.0,56380.0,bonne,1341.0,17980.5,22284.2,Fioul domestique
appartement,individuel,individuel,2.5,D,B,59.8,1.0,6700.0,insuffisante,1006.2,5797.2,13333.6,Électricité
appartement,individuel,individuel,4.7,D,B,77.8,2.0,26300.0,insuffisante,1289.4,7597.3,17473.7,Électricité
appartement,individuel,individuel,2.5,C,A,26.8,1.0,83200.0,bonne,412.5,1873.5,4309.1,Électricité
maison,individuel,individuel,3.0,F,F,139.0,1.0,38150.0,insuffisante,3511.9,44625.4,52698.6,Fioul domestique
maison,individuel,individuel,2.5,E,E,122.8,1.0,61350.0,moyenne,1728.9,22143.5,26344.6,Fioul domestique
appartement,individuel,individuel,2.8,E,B,31.4,1.0,44600.0,insuffisante,795.0,4430.6,10190.3,Électricité
appartement,individuel,individuel,2.5,C,C,35.0,1.0,33700.0,bonne,500.2,4937.8,5510.1,Gaz naturel
maison,individuel,individuel,2.5,D,B,211.0,2.0,81290.0,insuffisante,899.3,35721.0,45635.5,Bois – Bûches
appartement,individuel,individuel,2.5,E,E,29.7,1.0,45750.0,moyenne,803.9,9017.5,9319.4,Gaz naturel
maison,individuel,individuel,2.6,G,C,57.2,1.0,36500.0,insuffisante,510.3,19736.1,24669.3,Bois – Bûches
appartement,individuel,individuel,2.5,E,B,42.3,1.0,69200.0,bonne,1028.0,5936.1,13653.0,Électricité
maison,individuel,individuel,2.5,D,D,180.0,2.0,70110.0,moyenne,2674.0,38046.9,38884.0,Gaz naturel
appartement,individuel,individuel,2.6,E,E,58.7,1.0,75012.0,insuffisante,1404.5,18367.1,18872.9,Gaz naturel
immeuble,individuel,individuel,2.5,C,C,82.68599311136624,2.0,94400.0,très bonne,4438.7,51730.0,67092.0,Gaz naturel
appartement,individuel,individuel,2.5,D,B,44.8,1.0,69270.0,bonne,842.2,4745.3,10914.3,Électricité
appartement,collectif,collectif,2.5,D,D,80.3,1.0,6000.0,insuffisante,767.6,13184.4,14384.4,Gaz naturel
appartement,individuel,individuel,2.5,E,B,54.8,1.0,11370.0,insuffisante,531.0,7732.2,17784.0,Électricité
appartement,individuel,individuel,2.7,D,B,26.0,1.0,69210.0,bonne,537.5,2738.2,6297.8,Électricité
maison,individuel,individuel,2.9,D,D,60.4,1.0,79100.0,insuffisante,1074.7,13853.2,15054.7,Gaz naturel
maison,individuel,individuel,2.5,D,B,188.8,3.0,77515.0,moyenne,2395.0,18186.4,18186.4,Électricité
appartement,individuel,individuel,2.5,C,C,71.5,1.0,69150.0,très bonne,800.0,6177.2,6177.2,Électricité
appartement,individuel,individuel,2.5,C,A,100.0,1.0,33400.0,insuffisante,1015.2,5854.5,13465.3,Électricité
appartement,individuel,individuel,2.5,D,B,20.2,1.0,55200.0,bonne,491.9,2386.8,5489.7,Électricité
appartement,individuel,individuel,2.5,D,D,66.1,1.0,88100.0,insuffisante,959.0,11473.1,11883.6,Gaz naturel
appartement,individuel,individuel,2.4,D,B,22.0,1.0,34200.0,insuffisante,480.1,2354.0,5414.2,Électricité
maison,individuel,individuel,2.6,D,B,180.0,2.0,60390.0,insuffisante,1927.5,35780.8,40469.9,Bois – Granulés (pellets) ou briquettes
appartement,individuel,individuel,2.5,C,A,46.7,1.0,36000.0,moyenne,640.6,3417.2,7859.7,Électricité
maison,individuel,individuel,2.5,F,C,54.0,1.0,38150.0,insuffisante,237.9,12953.3,20132.0,Bois – Bûches
appartement,individuel,individuel,2.5,D,A,39.5,1.0,59000.0,très bonne,674.8,3642.6,8378.0,Électricité
appartement,individuel,individuel,2.5,D,B,39.1,1.0,73490.0,insuffisante,794.2,4214.4,9693.2,Électricité
appartement,individuel,individuel,2.4,E,B,35.0,1.0,86000.0,bonne,603.0,3933.5,9047.1,Électricité
appartement,individuel,individuel,2.7,E,E,61.4,1.0,65200.0,insuffisante,1445.9,18940.0,19366.6,Gaz naturel
appartement,individuel,individuel,2.5,C,A,19.0,4.0,44300.0,très bonne,368.0,1796.4,4131.6,Électricité
appartement,individuel,individuel,2.5,E,B,23.2,1.0,45000.0,moyenne,619.6,3278.6,7540.8,Électricité
appartement,collectif,individuel,2.5,C,C,16.9,5.0,50081.0,insuffisante,178.0,2737.3,3165.0,Réseau de Chauffage urbain
appartement,individuel,individuel,2.5,C,A,22.6,1.0,31520.0,moyenne,449.6,2137.4,4916.0,Électricité
appartement,individuel,individuel,2.7,C,A,31.0,1.0,87000.0,bonne,491.5,2435.2,5601.0,Électricité
appartement,individuel,individuel,2.5,C,A,93.5,2.0,38250.0,insuffisante,427.0,10239.5,14286.1,Bois – Granulés (pellets) ou briquettes
appartement,individuel,individuel,2.5,C,A,43.0,1.0,30127.0,insuffisante,630.0,3347.3,7698.8,Électricité
maison,individuel,individuel,2.8,D,D,150.0,1.0,79000.0,insuffisante,2017.9,29418.1,32084.7,Gaz naturel
maison,individuel,individuel,2.5,G,G,106.0,2.0,28130.0,insuffisante,3214.0,35632.9,36248.5,Fioul domestique
appartement,collectif,individuel,3.0,D,D,70.1,1.0,6000.0,insuffisante,704.0,9735.1,12375.2,Fioul domestique
maison,individuel,individuel,2.4,D,B,120.0,2.0,60540.0,moyenne,1315.3,13313.3,23403.2,Bois – Bûches
maison,individuel,individuel,2.5,F,F,121.5,1.0,17160.0,insuffisante,3319.0,39031.6,42575.8,Fioul domestique
appartement,individuel,individuel,2.5,D,D,49.2,1.0,13010.0,insuffisante,737.2,8326.1,9058.0,Gaz naturel
maison,individuel,individuel,2.5,D,D,112.0,2.0,17180.0,insuffisante,1797.8,25288.6,26965.2,Gaz naturel
appartement,individuel,individuel,2.5,D,B,52.0,1.0,44250.0,bonne,887.2,4805.8,11053.2,Électricité
appartement,individuel,individuel,2.5,D,B,69.0,1.0,30250.0,insuffisante,1125.0,6092.1,14011.8,Électricité
maison,individuel,individuel,3.0,E,B,64.0,2.0,47400.0,insuffisante,1338.4,7908.7,18190.1,Électricité
appartement,individuel,individuel,2.5,C,C,46.2,1.0,30900.0,moyenne,603.0,6201.8,6854.9,Gaz naturel
appartement,individuel,individuel,2.5,C,C,70.6,1.0,13100.0,moyenne,743.3,8598.6,9563.0,Gaz naturel
appartement,individuel,individuel,2.5,G,G,43.7,1.0,92700.0,insuffisante,1822.1,24751.8,25247.4,Gaz naturel
appartement,individuel,individuel,2.5,D,A,18.0,1.0,13100.0,insuffisante,428.9,1989.8,4576.6,Électricité
maison,individuel,individuel,2.5,C,C,38.0,1.0,59150.0,bonne,468.8,4776.4,5506.2,Gaz naturel
maison,individuel,individuel,2.5,E,E,76.2,1.0,37230.0,insuffisante,1682.8,22591.6,23052.2,Gaz naturel
appartement,individuel,individuel,2.5,D,D,62.9,1.0,87000.0,bonne,1070.2,13154.3,13536.1,Gaz naturel
maison,individuel,individuel,2.6,G,G,88.6,1.0,58640.0,insuffisante,3814.0,42166.9,42745.0,Fioul domestique
appartement,individuel,individuel,2.5,C,A,27.3,4.0,42100.0,très bonne,485.0,2388.5,5493.5,Électricité
appartement,individuel,individuel,2.3,D,A,24.2,2.0,86000.0,bonne,473.5,2306.6,5305.3,Électricité
appartement,individuel,individuel,3.2,D,B,28.2,2.0,86000.0,bonne,604.3,3007.5,6917.1,Électricité
appartement,individuel,individuel,2.5,G,C,12.8,1.0,53100.0,bonne,629.1,3341.2,7684.7,Électricité
appartement,individuel,individuel,2.5,C,A,44.4,1.0,60120.0,bonne,647.6,3360.8,7729.8,Électricité
maison,individuel,individuel,2.7,G,C,60.0,2.0,62600.0,insuffisante,2221.0,13512.5,31078.7,Électricité
appartement,individuel,individuel,2.5,D,D,44.9,1.0,39200.0,moyenne,632.6,6732.7,7474.4,Gaz naturel
maison,individuel,individuel,2.5,C,A,118.0,2.0,80130.0,bonne,1341.7,10755.6,21063.7,Électricité
maison,individuel,individuel,2.5,D,D,112.3,1.0,67410.0,très bonne,1169.0,17010.2,17519.1,Fioul domestique
appartement,individuel,individuel,2.5,C,A,35.0,1.0,20200.0,bonne,526.0,2661.4,6121.3,Électricité
maison,individuel,individuel,2.5,F,F,90.0,1.0,5000.0,insuffisante,1746.0,31302.1,34772.0,Fioul domestique
appartement,collectif,collectif,2.5,D,C,63.0,1.0,38100.0,insuffisante,954.1,12965.8,14061.2,Réseau de Chauffage urbain
appartement,individuel,individuel,2.5,E,B,79.0,1.0,5100.0,insuffisante,1684.2,9663.1,22225.2,Électricité
maison,individuel,individuel,2.7,F,F,75.0,1.0,10600.0,insuffisante,1934.0,26600.0,27277.8,Gaz naturel
appartement,collectif,collectif,2.5,E,E,60.8,9.0,92170.0,insuffisante,1082.6,17872.5,18343.9,Gaz naturel
appartement,individuel,individuel,2.5,C,A,89.0,1.0,11100.0,insuffisante,1038.5,6002.7,13806.1,Électricité
maison,individuel,individuel,2.9,G,G,170.0,1.0,88290.0,insuffisante,7413.2,82312.4,83902.7,Fioul domestique
maison,individuel,individuel,2.7,F,E,202.0,2.0,16480.0,insuffisante,3723.0,64086.6,68717.4,Fioul domestique
appartement,collectif,individuel,2.5,D,D,71.5,1.0,64140.0,insuffisante,935.8,13073.4,13491.2,Gaz naturel
appartement,individuel,individuel,2.5,C,A,79.2,1.0,45200.0,bonne,996.7,5737.0,13195.0,Électricité
maison,individuel,individuel,2.5,D,B,102.6,1.0,28270.0,bonne,1526.9,12914.5,24753.0,Électricité
appartement,individuel,individuel,2.5,E,E,56.0,5.0,12850.0,très bonne,1043.0,12740.8,13138.0,Gaz naturel
maison,individuel,individuel,2.5,B,A,128.0,2.0,26230.0,bonne,740.1,4073.0,9367.9,Électricité
appartement,individuel,individuel,2.5,F,C,50.9,1.0,84170.0,insuffisante,1540.0,9181.1,21116.5,Électricité
maison,individuel,individuel,2.5,E,B,54.0,1.0,24250.0,bonne,1042.8,6030.0,13869.1,Électricité
maison,individuel,individuel,2.7,D,D,152.1,3.0,60490.0,insuffisante,1773.2,22592.1,26746.6,Fioul domestique
maison,individuel,individuel,2.4,D,D,82.0,3.0,63230.0,insuffisante,1028.0,13149.9,14368.5,Gaz naturel
appartement,individuel,individuel,2.4,C,C,62.7,1.0,74140.0,très bonne,535.0,5269.2,5866.7,Gaz naturel
maison,individuel,individuel,2.5,F,E,84.3,1.0,59251.0,insuffisante,1731.2,25395.1,28536.1,Gaz naturel
appartement,mixte (collectif-individuel),individuel,2.5,E,B,45.6,1.0,62520.0,moyenne,1099.0,6389.7,14696.3,Électricité
appartement,individuel,individuel,3.4,C,A,98.7,2.0,34450.0,bonne,1162.5,6790.4,15617.9,Électricité
maison,individuel,individuel,2.5,E,E,159.4,2.0,39160.0,bonne,2410.6,29736.7,34115.6,Fioul domestique
appartement,individuel,individuel,2.7,E,E,51.5,1.0,75014.0,insuffisante,985.0,11852.1,12228.2,Gaz naturel
appartement,collectif,collectif,2.5,D,D,46.5,1.0,6100.0,insuffisante,590.8,9739.1,10027.8,Gaz naturel
maison,individuel,individuel,2.8,D,D,90.0,2.0,87100.0,insuffisante,1437.0,18907.8,19485.8,Gaz naturel
appartement,individuel,individuel,2.5,D,D,72.0,1.0,42300.0,insuffisante,1185.0,14946.9,15373.5,Gaz naturel
appartement,individuel,individuel,2.5,C,C,83.4,2.0,75018.0,bonne,927.3,11463.8,12491.5,Gaz naturel
maison,individuel,individuel,2.8,C,A,107.4,1.0,84230.0,très bonne,1258.3,7399.3,17018.4,Électricité
appartement,individuel,collectif,2.6,F,E,68.2,1.0,9110.0,insuffisante,1595.0,24027.3,24453.7,Gaz naturel
maison,individuel,individuel,2.5,D,D,69.9,2.0,59920.0,moyenne,1037.7,12690.2,13114.6,Gaz naturel
immeuble,collectif,individuel,2.5,C,C,82.68599311136624,2.0,21000.0,très bonne,11755.7,280465.7,405894.5,Gaz naturel
appartement,individuel,individuel,3.2,C,A,20.5,2.0,93120.0,bonne,359.0,1497.6,3444.5,Électricité
appartement,individuel,individuel,2.8,F,F,34.1,1.0,29200.0,insuffisante,987.7,11863.4,12208.8,Gaz naturel
appartement,individuel,individuel,2.5,D,B,44.9,1.0,78260.0,très bonne,717.9,3926.5,9030.9,Électricité
appartement,individuel,individuel,2.5,E,B,20.2,1.0,4260.0,insuffisante,643.1,3434.0,7898.2,Électricité
appartement,individuel,individuel,2.7,G,C,32.4,1.0,31280.0,insuffisante,1060.8,6144.2,14131.7,Électricité
maison,individuel,individuel,2.5,C,A,102.0,2.0,5120.0,très bonne,828.9,8679.2,14734.4,Bois – Bûches
appartement,individuel,individuel,2.4,C,A,62.4,1.0,31190.0,moyenne,696.0,3430.9,7891.1,Électricité
maison,individuel,individuel,2.8,E,E,53.0,1.0,36100.0,insuffisante,1265.3,16150.3,16544.9,Gaz naturel
appartement,individuel,individuel,2.7,D,D,74.7,2.0,42100.0,moyenne,1071.6,13601.8,14537.5,Gaz naturel
appartement,collectif,collectif,2.6,D,D,46.0,1.0,75010.0,insuffisante,602.6,9994.9,10352.2,Gaz naturel
appartement,individuel,individuel,2.8,C,A,92.4,1.0,33000.0,insuffisante,995.3,5727.9,13174.3,Électricité
maison,individuel,individuel,2.8,D,B,80.0,1.0,47240.0,bonne,1442.0,8560.4,19688.9,Électricité
appartement,individuel,individuel,2.5,D,B,44.4,1.0,20000.0,insuffisante,626.0,3814.3,8772.8,Électricité
appartement,collectif,collectif,2.5,D,D,63.7,1.0,74200.0,insuffisante,796.4,13034.8,13456.9,Gaz naturel
appartement,individuel,individuel,2.6,E,B,45.0,1.0,67140.0,moyenne,1374.5,6340.1,14582.3,Électricité
maison,individuel,individuel,2.5,D,B,145.0,1.0,83840.0,insuffisante,2221.6,13521.3,31099.1,Électricité
maison,individuel,individuel,2.4,F,C,204.0,2.0,25660.0,insuffisante,2801.0,72871.7,75771.9,Bois – Granulés (pellets) ou briquettes
maison,individuel,individuel,2.5,D,B,124.0,2.0,37220.0,bonne,1796.7,15630.4,29697.7,Électricité
appartement,collectif,collectif,2.5,F,F,43.4,12.0,13007.0,insuffisante,1089.0,17821.8,18148.5,Gaz naturel
maison,individuel,individuel,2.5,E,B,76.0,2.0,50460.0,bonne,1697.0,10187.7,23431.7,Électricité
appartement,collectif,collectif,2.6,D,D,33.6,1.0,33700.0,insuffisante,698.5,5331.5,5965.3,Gaz naturel
maison,individuel,individuel,2.6,E,B,60.3,1.0,13400.0,insuffisante,1329.2,7850.0,18054.9,Électricité
immeuble,collectif,individuel,2.5,E,E,82.68599311136624,2.0,38160.0,insuffisante,9175.0,124334.8,155498.8,Fioul domestique
appartement,individuel,individuel,2.5,D,A,18.5,1.0,67000.0,très bonne,420.7,1931.7,4442.9,Électricité
maison,individuel,individuel,2.5,E,B,74.5,1.0,49230.0,insuffisante,1632.0,9774.2,22480.6,Électricité
appartement,individuel,individuel,2.9,F,C,30.0,1.0,33800.0,insuffisante,928.0,5302.5,12195.9,Électricité
maison,individuel,individuel,2.6,D,B,53.9,1.0,17420.0,très bonne,829.0,6260.9,12318.7,Électricité
appartement,individuel,collectif,2.7,B,A,14.6,3.0,78350.0,très bonne,177.5,709.3,1631.3,Électricité
appartement,mixte (collectif-individuel),collectif,2.5,C,C,62.0,8.0,33400.0,moyenne,238.0,3739.9,4670.8,Gaz naturel
maison,individuel,individuel,2.6,B,A,108.0,1.0,47300.0,très bonne,774.0,4293.6,9875.2,Électricité
maison,individuel,individuel,2.5,D,B,174.0,1.0,78113.0,bonne,2442.1,14922.5,34321.8,Électricité
appartement,individuel,individuel,2.9,E,B,29.7,1.0,33000.0,insuffisante,763.0,4228.8,9726.2,Électricité
appartement,collectif,collectif,2.5,D,D,84.0,1.0,33290.0,insuffisante,1112.5,18496.7,19134.9,Gaz naturel
appartement,individuel,individuel,2.6,C,C,49.0,1.0,33600.0,moyenne,578.1,4380.2,4863.1,Gaz naturel
appartement,collectif,collectif,2.5,E,E,74.0,6.0,92200.0,insuffisante,1328.7,21860.8,22530.0,Gaz naturel
appartement,individuel,individuel,2.5,E,B,22.4,1.0,31300.0,insuffisante,602.7,3167.4,7285.0,Électricité
maison,individuel,individuel,2.5,G,C,50.7,2.0,59293.0,insuffisante,2093.0,12701.6,29213.7,Électricité
maison,individuel,individuel,2.5,C,C,115.7,1.0,36000.0,bonne,893.5,11003.8,12105.0,Gaz naturel
maison,individuel,individuel,2.5,C,C,64.4,2.0,78630.0,moyenne,680.6,7777.4,8920.9,Gaz naturel
maison,individuel,individuel,2.5,F,C,95.0,1.0,83460.0,insuffisante,1939.4,19790.2,35036.3,Électricité
maison,individuel,individuel,2.4,E,B,88.6,2.0,62620.0,insuffisante,2053.2,12451.2,28637.7,Électricité
appartement,collectif,individuel,2.6,D,D,62.0,1.0,44100.0,bonne,625.1,12115.0,14726.4,Gaz naturel
maison,individuel,individuel,2.5,E,D,107.5,2.0,62156.0,moyenne,1330.0,27968.6,32457.7,Gaz naturel
maison,individuel,individuel,2.5,C,C,180.0,3.0,93100.0,insuffisante,1747.9,23903.8,24773.8,Gaz naturel
appartement,collectif,collectif,2.5,E,E,62.9,10.0,78200.0,insuffisante,1123.0,18975.8,20037.3,Gaz naturel
appartement,mixte (collectif-individuel),individuel,2.6,E,E,88.1,1.0,67430.0,insuffisante,1590.0,22093.1,23738.7,Gaz naturel
maison,individuel,individuel,2.4,C,C,127.0,2.0,38220.0,bonne,1076.3,14041.5,22157.3,Fioul domestique
appartement,collectif,individuel,2.3,D,D,40.0,1.0,25800.0,très bonne,396.6,6409.3,9101.9,Fioul domestique
appartement,individuel,individuel,2.4,F,B,21.0,1.0,21000.0,insuffisante,662.0,3560.6,8189.5,Électricité
maison,individuel,individuel,2.5,F,F,130.0,1.0,23360.0,insuffisante,3093.1,34341.6,35001.6,Fioul domestique
appartement,collectif,collectif,2.5,D,D,45.0,12.0,50081.0,très bonne,362.0,6357.7,7076.6,Gaz naturel
appartement,individuel,individuel,2.5,D,D,38.7,1.0,30000.0,insuffisante,772.7,8521.7,8800.6,Gaz naturel
maison,individuel,individuel,2.5,C,A,150.0,1.0,34560.0,bonne,1574.6,9409.8,21642.5,Électricité
appartement,individuel,individuel,2.5,F,C,43.8,1.0,65200.0,insuffisante,1310.8,7439.4,17110.6,Électricité
appartement,individuel,individuel,2.5,E,B,27.2,1.0,49610.0,moyenne,622.4,3297.1,7583.4,Électricité
maison,individuel,individuel,2.5,D,B,79.8,2.0,40150.0,bonne,1394.9,8267.7,19015.6,Électricité
appartement,individuel,individuel,2.5,G,C,33.3,1.0,94120.0,bonne,1226.0,7192.8,7192.8,Électricité
appartement,individuel,individuel,2.5,D,A,62.0,1.0,22770.0,bonne,894.5,5087.3,11700.7,Électricité
appartement,collectif,collectif,2.5,D,A,78.0,1.0,83200.0,insuffisante,1233.6,16421.8,17393.2,Réseau de Chauffage urbain
maison,individuel,individuel,2.7,A,A,121.4,1.0,35470.0,très bonne,194.0,3865.9,4681.3,Bois – Granulés (pellets) ou briquettes
maison,individuel,individuel,2.5,G,C,107.0,2.0,27400.0,insuffisante,2798.3,87622.5,87885.4,Bois – Bûches
maison,individuel,individuel,2.5,F,F,81.2,3.0,3160.0,insuffisante,1788.3,21401.1,23793.0,Fioul domestique
appartement,individuel,individuel,2.5,D,D,173.0,2.0,38190.0,insuffisante,2338.6,27199.5,29181.9,Gaz naturel
appartement,individuel,individuel,2.5,C,A,96.1,1.0,22250.0,moyenne,1250.9,7352.1,16909.9,Électricité
appartement,individuel,individuel,2.5,G,C,38.5,1.0,93310.0,insuffisante,2021.0,10203.7,23468.5,Électricité
maison,individuel,individuel,2.5,G,C,89.6,1.0,59158.0,insuffisante,1319.4,43072.0,45480.4,Bois – Bûches
maison,individuel,individuel,2.5,D,C,46.3,1.0,34300.0,insuffisante,645.2,4945.3,9426.8,Électricité
appartement,individuel,collectif,2.4,E,C,24.4,1.0,34300.0,insuffisante,176.7,4743.3,7199.7,Électricité
maison,individuel,individuel,2.5,D,B,73.4,2.0,50640.0,insuffisante,653.0,7413.1,17050.1,Électricité
maison,individuel,individuel,2.5,F,C,69.6,1.0,83230.0,insuffisante,2064.5,12522.8,28802.4,Électricité
appartement,individuel,individuel,3.1,D,D,115.6,1.0,13015.0,insuffisante,1735.0,23448.0,23982.9,Gaz naturel
appartement,individuel,individuel,2.8,E,E,45.6,1.0,14000.0,très bonne,913.6,10733.3,11083.0,Gaz naturel
appartement,mixte (collectif-individuel),collectif,3.1,G,G,16.0,1.0,89600.0,insuffisante,559.0,6317.2,6577.5,Fioul domestique
maison,individuel,individuel,2.5,E,D,245.0,2.0,26000.0,insuffisante,2458.3,55301.1,64849.1,Fioul domestique
maison,individuel,individuel,2.5,D,B,146.0,2.0,74370.0,bonne,2073.6,12580.9,28936.1,Électricité
maison,individuel,individuel,2.5,D,B,167.0,2.0,71700.0,moyenne,2940.3,18039.6,41491.0,Électricité
maison,individuel,individuel,2.5,F,D,97.0,2.0,31440.0,insuffisante,670.0,18814.5,34976.7,Électricité
maison,individuel,individuel,2.4,G,G,87.5,2.0,7380.0,insuffisante,3095.3,34329.0,34941.6,Fioul domestique
appartement,individuel,individuel,2.5,D,B,26.9,1.0,54260.0,moyenne,546.7,2798.4,6436.4,Électricité
maison,individuel,individuel,2.5,C,A,141.0,1.0,44670.0,très bonne,340.8,15533.1,21884.8,Bois – Bûches
maison,individuel,individuel,2.5,E,B,107.7,2.0,50700.0,insuffisante,1595.9,30280.2,35014.0,Bois – Granulés (pellets) ou briquettes
appartement,individuel,individuel,2.5,C,C,106.0,1.0,68000.0,bonne,711.9,8331.1,9572.6,Gaz naturel
appartement,collectif,collectif,2.6,F,F,88.7,1.0,25450.0,très bonne,2438.6,27277.4,28061.5,Fioul domestique
appartement,collectif,collectif,2.6,E,E,70.5,1.0,92310.0,insuffisante,1279.7,14298.7,14690.4,Fioul domestique
appartement,collectif,collectif,2.5,E,E,43.6,1.0,63000.0,insuffisante,603.3,10000.0,10417.9,Gaz naturel
maison,individuel,individuel,2.5,E,B,104.0,2.0,85440.0,moyenne,1922.4,11619.9,26725.7,Électricité
appartement,individuel,individuel,2.4,C,A,43.3,1.0,47550.0,bonne,614.4,3244.5,7462.4,Électricité
appartement,mixte (collectif-individuel),collectif,2.5,D,D,66.7,5.0,51100.0,très bonne,671.0,11439.9,12413.7,Gaz naturel
appartement,individuel,individuel,2.3,E,B,33.5,1.0,34350.0,insuffisante,792.3,4416.8,10158.7,Électricité
appartement,collectif,collectif,2.5,D,D,67.2,8.0,42100.0,insuffisante,767.0,12809.7,12809.7,Gaz naturel
maison,individuel,individuel,2.5,E,B,114.8,4.0,80080.0,insuffisante,2231.2,13582.6,31240.0,Électricité
appartement,individuel,individuel,2.5,E,B,39.3,1.0,75010.0,insuffisante,877.4,4977.4,11448.0,Électricité
appartement,individuel,individuel,2.5,D,A,43.1,1.0,31130.0,bonne,651.0,3478.9,8001.4,Électricité
appartement,collectif,collectif,2.6,F,F,13.6,1.0,75016.0,insuffisante,468.3,6152.7,6415.7,Réseau de Chauffage urbain
appartement,individuel,individuel,2.6,E,B,44.3,1.0,66000.0,insuffisante,596.0,4971.5,11434.6,Électricité
appartement,individuel,individuel,3.0,E,E,26.6,1.0,50081.0,insuffisante,713.9,7606.7,7865.5,Gaz naturel
maison,individuel,individuel,2.5,G,C,93.7,2.0,29730.0,insuffisante,3080.7,18917.4,43510.1,Électricité
appartement,individuel,individuel,2.5,F,C,28.0,1.0,54000.0,insuffisante,909.6,5183.1,11921.2,Électricité
appartement,individuel,individuel,2.6,F,B,34.5,1.0,75019.0,insuffisante,933.8,5337.4,12275.9,Électricité
maison,individuel,individuel,2.4,C,A,185.7,1.0,74140.0,moyenne,463.0,10121.2,23278.7,Électricité
appartement,individuel,individuel,2.7,E,E,52.5,1.0,75014.0,insuffisante,1086.0,13371.5,13731.5,Gaz naturel
appartement,collectif,collectif,2.5,D,D,71.5,1.0,74600.0,insuffisante,965.1,15903.9,16362.8,Gaz naturel
maison,individuel,individuel,2.5,G,C,45.0,1.0,14790.0,insuffisante,1820.0,11572.0,26615.5,Électricité
maison,individuel,individuel,2.2,F,C,91.4,1.0,54200.0,insuffisante,1936.5,19434.9,34656.9,Électricité
appartement,individuel,individuel,2.4,C,A,26.0,1.0,66140.0,insuffisante,473.6,2308.0,5308.5,Électricité
appartement,individuel,individuel,2.7,G,C,59.2,1.0,15300.0,insuffisante,2883.0,17681.1,40666.6,Électricité
appartement,individuel,individuel,2.5,E,B,57.0,1.0,45160.0,très bonne,1149.5,6707.7,15427.7,Électricité
appartement,individuel,individuel,2.5,C,C,81.3,1.0,50081.0,très bonne,785.5,9318.2,10377.4,Gaz naturel
maison,individuel,individuel,2.8,E,E,277.0,2.0,69460.0,insuffisante,4479.1,53096.9,58429.7,Fioul domestique
maison,individuel,individuel,2.6,C,A,140.0,2.0,68320.0,insuffisante,919.0,9982.0,22958.5,Électricité
appartement,collectif,collectif,2.6,E,E,51.1,1.0,69300.0,insuffisante,731.8,12176.1,12621.7,Gaz naturel
appartement,individuel,individuel,2.4,E,B,61.2,3.0,6830.0,insuffisante,532.0,7219.6,16605.1,Électricité
appartement,individuel,individuel,2.5,D,D,37.0,1.0,50130.0,insuffisante,594.2,6058.8,6687.9,Gaz naturel
appartement,individuel,collectif,2.5,D,D,74.6,1.0,83320.0,insuffisante,1038.0,11779.5,12144.7,Gaz naturel
appartement,individuel,individuel,2.5,E,B,94.2,3.0,78410.0,insuffisante,2125.8,12912.8,29699.4,Électricité
appartement,collectif,collectif,2.5,C,C,51.0,5.0,35000.0,moyenne,392.4,5306.6,5723.1,Réseau de Chauffage urbain
appartement,mixte (collectif-individuel),individuel,2.4,D,B,42.0,1.0,67100.0,insuffisante,735.0,4037.7,9286.7,Électricité
maison,individuel,individuel,2.5,G,G,55.3,1.0,25000.0,insuffisante,2277.0,25029.4,25194.0,Fioul domestique
appartement,individuel,individuel,2.5,C,A,53.0,1.0,50110.0,très bonne,766.5,3966.4,9122.7,Électricité
appartement,individuel,individuel,2.5,C,A,51.0,1.0,95300.0,très bonne,654.0,3873.9,3873.9,Électricité
appartement,collectif,collectif,2.5,E,E,74.0,1.0,78120.0,insuffisante,1081.4,17765.5,18191.1,Gaz naturel
appartement,individuel,individuel,2.5,D,B,17.0,1.0,35360.0,très bonne,460.3,2213.1,5090.1,Électricité
maison,individuel,individuel,2.5,C,A,88.2,1.0,30420.0,très bonne,635.0,4299.4,4299.4,Électricité
